timestamp_ms,pitch_deg
5298,-2.65
6304,-2.65
7312,-2.65
8320,-2.65
9326,-2.67
10334,-2.66
11341,-2.67
12349,-2.66
13356,-2.64
14363,-2.24
15371,-1.5
16378,-1.36
17385,-1.27
18393,-1.29
19400,-1.27
20407,-1.24
21414,-1.36
22422,-6.34
23430,0.52
24436,-0.92
25444,-1.14
26451,-1.29
27458,-1.32
28466,-1.43
29473,-1.42
30481,-1.35
31488,-39.13
32495,-37.43
33503,-35.52
34509,-6.68
35517,3.96
36525,0.04
37532,-1.03
38539,-1.29
39546,-5.76
40554,-1.1
41561,-1.28
42568,-1.31
43576,-1.32
44583,-1.68
45590,-1.57
46598,-1.53
47605,-1.55
48613,-1.54
49619,-1.5
50627,-1.51
51635,-1.51
52641,-1.54
53649,-1.51
54657,-1.51
55664,-1.5
56671,-1.52
